#,Song,Artist,Popularity,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Tempo,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
1,"HARD","SOPHIE",42,"art pop, dance pop, deconstructed club, electropop, escape room, hyperpop, pop, proto-hyperpop, transpop","Pop","HARD",2015-11-27,2:54,78,73,1,9,55,20,10,-6,84,F Minor,4,2022-08-22,64LJZpSz4VxvNDcyx1762M,"Numbers",4A,https://p.scdn.co/mp3-preview/1000658a1892e9100774c26b8f8df165ec7910ac?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851147c202f4a1fa9e761979ffd
2,"Bad Ideas","Tessa Violet",53,"alt z, indie pop","Rock","Bad Ideas",2019-10-25,2:59,79,52,62,0,38,20,10,-8,80,C Minor,4,2022-08-22,41K8qlXVHE5cDv7eifdk4G,"T∆G Music",5A,https://p.scdn.co/mp3-preview/5e95b757fbab272bc52829f53d70dd9fddc8d7a0?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851691253f50c8d0c3a2d52363f
3,"BIPP","SOPHIE",45,"art pop, dance pop, deconstructed club, electropop, escape room, hyperpop, pop, proto-hyperpop, transpop","Pop","BIPP",2015-11-27,3:44,77,70,9,8,34,10,10,-4,83,D Major,5,2022-08-22,5HuOQHBDbb0UJjEE2fw6Uq,"Numbers",10B,https://p.scdn.co/mp3-preview/86995730f8070570949d8126d7e2ba4281f1d3a5?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485140df34b99c605e1eb07ea9b3
4,"That's Life - Remastered 2008","Frank Sinatra",58,"adult standards, easy listening, lounge","Easy listening","Nothing But The Best (Remastered)",2008-01-01,3:07,39,63,55,0,56,0,40,-7,115,E Minor,4,2022-08-22,4dt6XKr0xKdPzjFhwB8dBm,"FRANK SINATRA DIGITAL REPRISE",9A,,https://i.scdn.co/image/ab67616d00004851b81d66d1416afa139d12767b
5,"Baby Blue","Badfinger",23,"album rock, art rock, beatlesque, blues rock, classic rock, country rock, folk rock, jangle pop, mellow gold, power pop, psychedelic rock, rock, roots rock, soft rock","Rock, Folk/Acoustic, Blues, Country","No Matter What You Are",2007-01-01,3:41,57,49,1,0,61,0,0,-16,125,B Major,4,2022-08-22,48cvvKFEwOyvSmeObYMVZa,"Purple Pyramid",1B,https://p.scdn.co/mp3-preview/0c11c6b25a227fdb2a0e69f968feacfef4c25732?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851624ca2bff7e08a94ff859ed1
6,"Across The Universe - Remastered 2009","The Beatles",65,"beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock","Folk/Acoustic, Rock","Let It Be (Remastered)",1970-05-08,3:48,26,41,36,0,86,0,0,-12,152,C♯/D♭ Major,4,2022-08-22,4dkoqJrP0L8FXftrMZongF,"EMI Catalogue",3B,,https://i.scdn.co/image/ab67616d0000485184243a01af3c77b56fe01ab1
7,"july 16th","Giveon",65,"pop, r&b","Pop, R&B","Give Or Take",2022-06-24,1:50,37,21,93,0,40,0,50,-13,79,G Major,4,2022-08-22,41CJn3Q0pJwcNHbF8RM2QE,"Epic",9B,https://p.scdn.co/mp3-preview/31248cedf313ecf613f70c1675a362ef3e8ba7b7?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512739e569d6b6d0e0abc8cd9b
8,"Stop","Justice",39,"alternative dance, electro house, electronica, filter house, new rave","Rock, Dance/Electronic","Woman",2016-11-18,4:57,53,63,8,0,66,0,10,-6,170,C♯/D♭ Major,4,2022-08-22,0WQbCSbujb6bSPVENrWYrl,"Genesis",3B,https://p.scdn.co/mp3-preview/69fb428a6b94c22cd1b5952352f60436e14a9403?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d4a2f9a24620e329d2db7078
9,"N.Y. State of Mind","Nas",70,"conscious hip hop, east coast hip hop, gangster rap, hardcore hip hop, hip hop, queens hip hop, rap","Hip Hop","Illmatic",1994-04-19,4:53,67,91,4,0,89,20,20,-5,84,F#/G♭ Minor,4,2022-08-22,0trHOzAhNpGCsGBEu7dOJo,"Columbia",11A,https://p.scdn.co/mp3-preview/1ff7cbcb2d120dd9c67f69a56c3791eb622f9232?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851045fc920ecf4f8094888ec26
10,"Our Song","Joe Henry",32,"alternative country, roots rock","Country","Civilians",2007-09-11,6:19,55,28,56,0,27,0,10,-10,103,G Major,4,2022-08-22,7cxyVmzrnEh4hXF9Zgz9pZ,"Anti/Epitaph",9B,https://p.scdn.co/mp3-preview/8ba737e4996878050e82de44d29a5ca655935bef?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516b88cf2e0601cc7b4bd70588
