#,Song,Artist,Popularity,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Tempo,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
1,"Dynabeat","Jain",33,"french indie pop","Pop","Zanaka (Deluxe)",2016-11-25,2:52,91,61,8,0,57,0,0,-5,110,D Major,4,2022-08-22,5lZoZuFYQpsRy8D5iD1MG2,"Columbia",10B,https://p.scdn.co/mp3-preview/2c1ca425155260472a62b9f75bc2ab0a56cbe381?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048517ec39ea5b21178e7a223a0b3
2,"Thumbnail","Louie Zong,Brian David Gilbert",46,"indie pop, weirdcore, comic","Hip Hop, Rock","Thumbnail",2018-06-28,3:05,84,33,79,0,55,0,10,-14,105,C Major,4,2022-08-22,315nF0bGYJxNcSI6S3Y8aN,"Fuji Apple Records",8B,https://p.scdn.co/mp3-preview/494e4412419764f0f006a434bf30f6e51faaee9d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485180d8544456dc253bf005db22
3,"Woman","Doja Cat",89,"dance pop, pop","Pop","Planet Her",2021-06-25,2:52,82,76,9,0,88,0,10,-4,108,F Minor,4,2022-08-22,6Uj1ctrBOjOas8xZXGqKk4,"Kemosabe Records/RCA Records",4A,https://p.scdn.co/mp3-preview/01b49a95f322c2c708b48e56a9da43777620af9b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514df3245f26298a1579ecc321
4,"All Summer Long","Kid Rock",74,"alternative metal, nu metal","Metal","Rock n Roll Jesus",2007-10-09,4:57,70,86,2,0,89,0,10,-4,103,G Major,4,2022-08-22,5rX6C5QVvvZB7XckETNych,"Top Dog/Atlantic",9B,https://p.scdn.co/mp3-preview/2d3f87b63631ee04a1e23510d73564a4d01ceae0?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a3473085a2a48547a5c290a8
5,"Shake It Off","Taylor Swift",73,"pop","Pop","1989",2014-10-27,3:39,65,79,6,0,94,10,10,-5,160,G Major,4,2022-08-22,5xTtaWoae3wi06K5WfVUUH,"Big Machine Records, LLC",9B,,https://i.scdn.co/image/ab67616d000048519abdf14e6058bd3903686148
6,"Hold On, We're Going Home","Drake,Majid Jordan",71,"canadian hip hop, canadian pop, hip hop, rap, toronto rap, canadian contemporary r&b, pop, r&b, trap soul","R&B, Hip Hop, Pop","Nothing Was The Same",2013-01-01,3:47,78,41,0,0,29,0,0,-7,100,F#/G♭ Minor,4,2022-08-22,2aSC2xhRxOLiiZZVjhbylH,"Cash Money Records/Young Money Ent./Universal Rec.",11A,,https://i.scdn.co/image/ab67616d00004851a90d170c61fb7d063d47161d
7,"Say It (feat. Tove Lo)","Flume,Tove Lo",60,"australian dance, australian electropop, australian indie, downtempo, edm, dance pop, electropop, metropopolis, pop, swedish electropop, swedish pop, swedish synthpop, uk pop","Dance/Electronic, Pop","Skin",2016-05-27,4:22,60,53,7,0,26,0,0,-7,75,D#/E♭ Minor,4,2022-08-22,5aOpzm8W8zysk4asB9hxJw,"Mom+Pop",2A,https://p.scdn.co/mp3-preview/985a3b94a4441486e17ff267b65095cec9f470d8?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851750d4a1b362296d1b815a223
8,"Found What I've Been Looking For","Tom Grennan",59,"pop, tropical house, uk pop","Pop, Dance/Electronic","Lighting Matches (Deluxe)",2018-07-06,3:11,62,83,4,0,78,0,0,-5,107,D#/E♭ Minor,4,2022-08-22,4Gw1SXoN1MlAmdM3J1NjmR,"Insanity Records",2A,https://p.scdn.co/mp3-preview/6ce949f580ab1a9d8f8958de5b6344e7e22ef647?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d8987d39cc611f9d85aa2dd5
9,"Judy in Disguise (with Glasses)","John Fred and His Playboy Band",41,"swamp pop","Rock","Agnes English",1967-10-19,2:54,61,50,6,19,89,0,0,-10,81,G#/A♭ Major,4,2022-08-22,2p7mA5rSVwIaoNslO9zylp,"Paula Records",4B,https://p.scdn.co/mp3-preview/21aeaf6c2e4651cd500a4571a1c185da5724cb42?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e8a3d7a41294a91e7a3c811d
10,"Games People Play","Paper Lace",1,"bubblegum pop, classic uk pop","Pop","First Edition",1972-03-01,3:44,57,82,32,0,81,0,0,-11,88,C♯/D♭ Major,4,2022-08-22,0h9k0XwL222X1WrBR2Ie7G,"UMC (Universal Music Catalogue)",3B,,https://i.scdn.co/image/ab67616d000048511d4dbc19bdc943b11af163bb
