artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,subnames,frequency,Popularity,Parent Genres
SOPHIE,HARD,HARD,64LJZpSz4VxvNDcyx1762M,0.779,0.728,5,-5.962,0,0.227,0.0854,0.108,0.552,83.986,174368,4,sub 0,3+ a week,42,Pop
Tessa Violet,Bad Ideas,Bad Ideas,41K8qlXVHE5cDv7eifdk4G,0.786,0.523,0,-7.583,0,0.21,0.000671,0.0978,0.379,80.042,179173,4,sub 0,3+ a week,53,Rock
SOPHIE,BIPP,BIPP,5HuOQHBDbb0UJjEE2fw6Uq,0.765,0.703,2,-3.883,1,0.166,0.0843,0.127,0.335,82.681,224143,5,sub 0,3+ a week,45,Pop
Frank Sinatra,Nothing But The Best (Remastered),That's Life - Remastered 2008,4dt6XKr0xKdPzjFhwB8dBm,0.392,0.632,4,-6.633,0,0.0529,0,0.457,0.556,114.917,187227,4,sub 2,Multiple Times a day,58,Easy listening
Badfinger,No Matter What You Are,Baby Blue,48cvvKFEwOyvSmeObYMVZa,0.566,0.493,11,-15.845,1,0.0309,7.85e-06,0.0624,0.608,125.011,221160,4,sub 2,Multiple Times a day,23,"Rock, Folk/Acoustic, Blues, Country"
The Beatles,Let It Be (Remastered),Across The Universe - Remastered 2009,4dkoqJrP0L8FXftrMZongF,0.257,0.412,1,-11.788,1,0.0287,8.68e-05,0.0702,0.858,152.126,228133,4,sub 2,Multiple Times a day,65,"Folk/Acoustic, Rock"
Giveon,Give Or Take,july 16th,41CJn3Q0pJwcNHbF8RM2QE,0.373,0.213,7,-13.034,1,0.0356,2.02e-06,0.524,0.403,79.44,110716,4,sub 3,Multiple Times a day,65,"Pop, R&B"
Justice,Woman,Stop,0WQbCSbujb6bSPVENrWYrl,0.525,0.634,1,-5.866,1,0.037,0.000106,0.113,0.661,170.065,297316,4,sub 3,Every Day,39,"Rock, Dance/Electronic"
Nas,Illmatic,N.Y. State of Mind,0trHOzAhNpGCsGBEu7dOJo,0.665,0.91,6,-4.682,0,0.223,0,0.227,0.887,84.099,293973,4,sub 3,Every Day,70,Hip Hop
Joe Henry,Civilians,Our Song,7cxyVmzrnEh4hXF9Zgz9pZ,0.552,0.282,7,-10.104,1,0.0291,0,0.114,0.268,103.068,379547,4,sub 4,3+ a week,32,Country
